Filename,Date,Time,Img
pondeli_04_p2_polymer_vsechny_l_bok_d180_2021-03-09_13-52-33-MWL-Ex(750)-Em(830)_Frgrnd,03/09/2021,13:54:02,Frgrnd
pondeli_04_p2_polymer_vsechny_l_bok_d245_2021-05-13_13-09-13-MWL-Ex(750)-Em(830)_Frgrnd,05/13/2021,13:10:44,Frgrnd
pondeli_04_p2_polymer_vsechny_l_bok_d29_2020-10-06_09-56-06-MWL-Ex(750)-Em(830)_Frgrnd,10/06/2020,09:57:37,Frgrnd
pondeli_04_p2_polymer_vsechny_l_bok_d57_2020-11-03_12-04-32-MWL-Ex(750)-Em(830)_Frgrnd,11/03/2020,12:06:00,Frgrnd
pondeli_04_p2_polymer_vsechny_l_bok_d70_2020-11-16_19-12-59-MWL-Ex(750)-Em(830)_Frgrnd,11/16/2020,19:14:28,Frgrnd
pondeli_04_p2_polymer_vsechny_l_bok_d85_2020-12-02_11-59-21-MWL-Ex(750)-Em(830)_Frgrnd,12/02/2020,12:00:50,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_24h_2020-09-08_13-30-16-MWL-Ex(750)-Em(830)_Frgrnd,09/08/2020,13:31:44,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_24h_2020-09-08_13-33-34-MWL-Ex(750)-Em(830)_Frgrnd,09/08/2020,13:35:02,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_48h_2020-09-09_13-50-27-MWL-Ex(750)-Em(830)_Frgrnd,09/09/2020,13:51:56,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_48h_2020-09-09_13-53-51-MWL-Ex(750)-Em(830)_Frgrnd,09/09/2020,13:55:19,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_72h_2020-09-10_11-50-55-MWL-Ex(750)-Em(830)_Frgrnd,09/10/2020,11:52:23,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_72h_2020-09-10_11-53-55-MWL-Ex(750)-Em(830)_Frgrnd,09/10/2020,11:55:24,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d07_2020-09-14_16-10-08-MWL-Ex(750)-Em(830)_Frgrnd,09/14/2020,16:11:36,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d07_2020-09-14_16-17-06-MWL-Ex(750)-Em(830)_Frgrnd,09/14/2020,16:18:35,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d120_2021-01-08_12-07-53-MWL-Ex(750)-Em(830)_Frgrnd,01/08/2021,12:09:20,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d120_2021-01-08_12-10-56-MWL-Ex(750)-Em(830)_Frgrnd,01/08/2021,12:12:24,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d150_2021-02-04_10-43-29-MWL-Ex(750)-Em(830)_Frgrnd,02/04/2021,10:44:57,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d150_2021-02-04_10-47-38-MWL-Ex(750)-Em(830)_Frgrnd,02/04/2021,10:49:07,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d15_2020-09-22_11-17-05-MWL-Ex(750)-Em(830)_Frgrnd,09/22/2020,11:18:34,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d15_2020-09-22_11-21-36-MWL-Ex(750)-Em(830)_Frgrnd,09/22/2020,11:23:04,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d180_2021-03-09_13-55-42-MWL-Ex(750)-Em(830)_Frgrnd,03/09/2021,13:57:11,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d180_2021-03-09_13-59-01-MWL-Ex(750)-Em(830)_Frgrnd,03/09/2021,14:00:29,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d245_2021-05-13_13-12-33-MWL-Ex(750)-Em(830)_Frgrnd,05/13/2021,13:14:02,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d245_2021-05-13_13-15-28-MWL-Ex(750)-Em(830)_Frgrnd,05/13/2021,13:16:57,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d29_2020-10-06_10-00-27-MWL-Ex(750)-Em(830)_Frgrnd,10/06/2020,10:01:55,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d29_2020-10-06_10-06-01-MWL-Ex(750)-Em(830)_Frgrnd,10/06/2020,10:07:29,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d57_2020-11-03_12-07-54-MWL-Ex(750)-Em(830)_Frgrnd,11/03/2020,12:09:22,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d57_2020-11-03_12-11-54-MWL-Ex(750)-Em(830)_Frgrnd,11/03/2020,12:13:23,Frgrnd
